category,name,price,description
Starters & Snacks,Potato Skins,12.99,Filled with Jack-cheddar cheese and bacon bits with a side of sour cream.
Starters & Snacks,Nacho Pizza,10.99,"Crispy flour tortilla covered with Jack-cheddar cheese, spicy salsa, jalapeños, black olives, tomatoes, scallions and a scoop of sour cream."
Starters & Snacks,Super Nachos,15.99,"Tortilla chips topped with a mix of spicy beef and refried beans, nacho cheese sauce, olives, pico de gallo, jalapeños, scallions and shredded lettuce. Sour cream and salsa on the side. Add guacamole $2.39"
Starters & Snacks,Mozzarella Sticks,11.49,Lightly battered and served with our own marinara sauce.
Starters & Snacks,Louisiana Crab Dip,11.99,"A blend of real and imitation crab meat, homemade and creamy with a little zing! Served with tortilla chips."
Starters & Snacks,Tully's Habañero Wings,15.89,This is where heat meets flavor! Lightly dusted with flour and tossed in our homemade habañero sauce. Bleu Cheese included.
Starters & Snacks,Garlic Parm Wings,15.89,Lightly dusted with flour then tossed in our homemade garlic Parmesan sauce. Celery and Tully's Ranch dressing included.
Starters & Snacks,Salt & Pepper Wings,15.49,Tossed in our salt and pepper seasoning. Celery and Bleu Cheese included.
Starters & Snacks,Tully's Original Wings,15.49,"Lightly dusted with flour. Choose from Tully’s signature sauces: Mild, Medium, Hot, or BBQ. Celery and Bleu Cheese included."
Starters & Snacks,Tully's Buffalo Wings,15.49,Tossed in homemade Buffalo sauce. Celery and Bleu cheese included.
Starters & Snacks,Loaded Fries,13.79,"Smothered with melted Jack-cheddar cheese, bacon bits and Tully’s Ranch for dipping."
Starters & Snacks,Tex-Mex Eggrolls,12.99,"Filled with spicy chicken, corn, black beans, peppers, onions and melted cheese. Served with spicy Cajun sauce, salsa and tortilla chips."
Starters & Snacks,Chicken Wing Dip,12.59,Our homemade spicy dip topped with melted Jack-cheddar cheese and sour cream. Served with tortilla chips.
Starters & Snacks,Chicken-N-Cheese,12.19,Tully’s Tenders® and mozzarella sticks with Tully’s Honey Mustard and our own marinara sauce.
Starters & Snacks,Veggie Quesadilla,11.99,"A flour tortilla packed with cheese, tomatoes, jalapeños, black olives and scallions. Served with sour cream and pico de gallo."
The Best Chicken Tenders on Earth®,10 Tully's Tenders®,20.99,Served with Tully’s Honey Mustard sauce. Sub Buffalo or Asian Tenders add $1.00.
The Best Chicken Tenders on Earth®,Tully's Tenders® Appetizer,14.49,Hand battered chicken tenders served with fries and Tully’s Honey Mustard.
The Best Chicken Tenders on Earth®,Asian Tenders Appetizer,14.89,Tully’s Tenders® tossed in a sweet ‘n spicy Asian sauce. Served with fries and Tully’s Ranch.
The Best Chicken Tenders on Earth®,Buffalo Tenders Appetizer,14.89,Tully’s Tenders® dipped in Buffalo wing sauce. Served with fries and creamy Bleu Cheese.
The Best Chicken Tenders on Earth®,Add 3 Tully’s Tenders®,6.69,Served with Tully's Honey Mustard sauce.
Homemade Soups,French Onion Soup,6.99,"Served piping hot with homemade croutons, melted Swiss and mozzarella."
Homemade Soups,Homemade Chili,6.99,Thick and hearty. Topped with melted cheddar cheese. Served with tortilla chips.
Homemade Soups,Baked Potato Soup,5.99,"Loaded with chunks of Idaho potatoes, celery, bacon bits and Jack-cheddar cheese."
Salad Entrées,Balsamic Chicken Salad,16.99,"Romaine tossed with Balsamic vinaigrette dressing and tomato bruschetta. Topped with roasted peppers, olives, Romano cheese, grilled chicken and scallions."
Salad Entrées,Grilled Chicken Caesar Salad,14.99,"Crisp Romaine tossed with Caesar dressing and homemade croutons, topped with grilled chicken."
Salad Entrées,Tavern Steak Salad,17.99,"Mixed greens tossed with red wine vinaigrette, cucumbers, diced tomatoes, scallions, potatoes and topped with grilled USDA Choice Flat iron steak and crumbly Bleu Cheese."
Salad Entrées,BBQ Chicken Salad,14.99,"Iceberg lettuce tossed with homemade Tully’s Ranch, black beans, corn, and Jack-cheddar cheese. Topped with scallions, cilantro, diced tomatoes, tortilla chips and BBQ grilled chicken."
Salad Entrées,Tully's Tenders® Salad,14.99,"Iceberg lettuce with fresh vegetables, black olives, and Jack-cheddar cheese. Topped with Tully’s Tenders®. Sub Buffalo or Asian Tenders $.40"
Huge Deli Sandwiches,The Tully,14.99,Shaved turkey and ham lightly grilled and topped with melted white American cheese and bacon with lettuce and tomato on butter toasted deli bread.
Huge Deli Sandwiches,The Ultimate BLT,14.99,"Crisp bacon, lettuce, tomato and mayo on country white bread."
Huge Deli Sandwiches,New York Grilled Reuben,15.99,"Corned beef, Thousand Island dressing, sauerkraut and melted Swiss on rye."
Huge Deli Sandwiches,The Ultimate Grilled Cheese,13.99,"Cheddar, yellow and white American cheeses on country white bread."
Huge Deli Sandwiches,Classic Tuna Melt on Rye,14.99,Grilled with melted Cheddar cheese and sliced tomatoes on Rye.
Tully's Favorites,Cajun Grilled Pork Chops,16.99,Two center-cut loin pork chops seasoned Cajun style and grilled. Topped with sautéed onions and mushrooms. Served with country mashed potatoes and coleslaw.
Tully's Favorites,California Fish Taco,15.99,"A crisp tortilla packed with hand breaded haddock, melted cheese, black beans, pico de gallo, scallions, black olives, jalapeños and our spicy homemade dressing. Served with rice and beans. Add guacamole $2.39."
Tully's Favorites,Santa Fe Chicken Dinner,17.99,"Two fresh 6oz chicken breast grilled then topped with teriyaki sauce, American cheese, mushrooms, and bacon. Served with coleslaw and choice of side."
Tully's Favorites,Seafood Combo,17.99,"Hand breaded shrimp and lightly breaded haddock, served with choice of side, coleslaw and garlic bread."
Tully's Favorites,Fish Fry Haddock Dinner,16.99,"Lightly breaded haddock with choice of potato, coleslaw and tartar sauce."
Tully's Favorites,Mile High Meatloaf,15.99,Homemade meatloaf (contains mushrooms) served on top of country mashed potatoes and topped with fresh gravy. Served with coleslaw.
Tully's Favorites,Tully's Tender® Dinner,16.49,Fresh hand battered chicken tenders with fries. Served with Tully’s Honey Mustard and coleslaw.
